 TIME | TYPE  | TITLE | STATUS | REACTIVE | COMMENTNO | SHARE |LINKS(Shared Posts/Shared Links etc) 
9/12/19, 10:10 PM | others | Phan Yến Nhi | Các người nghĩ các người đi chơi trung thu đc còn tui thì ko sao 🙄 | 267 | 26 |  | 
9/12/19, 7:37 PM | others | Phan Yến Nhi | Nay tròn trịa quá, ăn cả ngày mà sao vẫn thèm đủ thứ nhỉ? Đúng chất heo mẹ, rồi chuẩn bị heo con ra đời 🐷 Nhà có 2 con heo, ba ơi ba ơi, chúc mừng ba =)))) | 634 | 18 |  | 
9/12/19, 4:06 PM | added photo | Phan Yến Nhi added 2 new photos. | Siêu hiệu quả là như thế nào? Là dùng rồi tóc sẽ nhanh dài và nhiều bất chấp, nhìn sợi tóc cũng đẹp và có sức sống hơn, tóc khỏe và giảm gãy rụng hẳn. Vừa hiệu quả vừa thơm mát không bết da đầu, được bao nhiêu loại sp như La Girl? 😉 | 55 | 2 |  | https://www.facebook.com/photo.php?fbid=2454945641451746&set=pcb.2454946714784972&type=3&__tn__=HH-R&eid=ARA6xy6U3RupO-hTJPZMsGmAjmYI_3S75Fqh3F64sCsxsxHgKiYqwjiSoA6QkeIvxJlsBJs6CK_5N0ST
9/12/19, 12:13 PM | added photo | Phan Yến Nhi added a new photo. | Nếu không xài kem dưỡng da thì ít nhất cũng phải thủ cho mình 1 chai xịt khoáng Oshirma trong túi xách, vì những lí do này. 1 chai xịt khoáng thông thường không thể đáp ứng đủ những vấn đề bạn cần dưới đây, chỉ có duy nhất Oshirma, nhiêu đó đủ hiểu vì sao gọi nó là nước thần, và thời gian vừa qua mình đã xài không biết bao nhiêu chai rồi ❤️ Từ người dùng, mình đã trải nghiệm hiệu quả của ẻm 1 cách tuyệt đối, tiện lợi bỏ túi khi ra ngoài đường nắng nóng, không thể nào thiếu ẻm được! Tham khảo sản phẩm của Oshirma Re-X: http://phanyennhi.oshirma.vn/ | 20 |  | 1 | https://www.facebook.com/photo.php?fbid=2454838891462421&set=a.2402377706708540&type=3&eid=ARAB8liGzXYeCs9VVhasbuUAQWGUpKDotelo_r8Lb1p4hFlaN3CooffULQwNdErbgpgCzVwSLL4jUOC1
9/12/19, 10:08 AM | added photo | Phan Yến Nhi added 3 new photos. | Hàng về như này đủ giao cho khách chưa 🙄 Luôn có sẵn, nhắn là có ngay. Hãy quan tâm đến đôi mắt của chính mình và người thân gia đình, đặc biệt là ba mẹ lớn tuổi, trẻ nhỏ học nhiều, tiếp xúc tới máy tính, điện thoại thường xuyên,...dẫn đến việc giảm thị lực và mỏi mắt. Và hãy trải nghiệm với kem dưỡng mắt, mask đắp mắt Hanco. Sản phẩm mới hoàn toàn , khác hẳn với những sp cùng loại trước đây. Chất lượng và cao cấp tuyệt đối ❤️ | 39 | 9 |  | https://www.facebook.com/photo.php?fbid=2454776271468683&set=pcb.2454780158134961&type=3&__tn__=HH-R&eid=ARAAAnXfonjs9qEpkJ1lNSMApRUW9_6QmZmoLPql7zfiemTxLLne5b_Z_hJJFmIGqnE7qAkfNk6l7DLW
9/11/19, 9:16 PM | others | Phan Yến Nhi | Lâu lâu mới có tấm ảnh xịn 😌 Đăng kiếm tí gọi là tương tác, mai rãnh lọc bớt friends lại, lướt từ trên xuống dưới toàn mấy bà nhỏ học sinh đăng stus chửi, uýnh lộn, sân si đồ ko à :(( Lọc bớt kết bạn với mấy chị đẹp, giỏi giang để có động lực mần ăn và làm đẹp 💪 | 825 | 39 |  | 
9/11/19, 6:28 PM | added photo | Phan Yến Nhi added 2 new photos. | Feedback chân thực từ khách dùng xịt mọc tóc La Girl nhà mình. Và bản thân mình cũng sử dụng nên không cần phải bỏ tiền ra book Kols để pr các thứ. Cứ dùng và hiệu quả là khách sẽ tin mình thôi ❤️ | 18 | 4 |  | https://www.facebook.com/photo.php?fbid=2454251554854488&set=pcb.2454253648187612&type=3&__tn__=HH-R&eid=ARDDh2psh5sD5aHPqqbBQ4fMItr-Z_JO075qIIaRqMproM-Ut20AukZL1vmN8osMOOlXn0AawghAd74h
9/11/19, 3:32 PM | added photo | Phan Yến Nhi added 4 new photos. | Feedback ngập tràn khách sử dụng kem mắt và mask đắp mắt Hanco ❤️ Hàng xịn có khác ha ✌️ - Kem dưỡng mắt xoá quầng thâm, tan bọng mắt,... có đầu rung massage #520k /cây - Mask đắp mắt thư giãn, ổn định thị lực,... #360k/ hộp 20 miếng Khách đặt kem mắt tặng kèm 2 miếng mask dùng thử ạ. | 24 | 7 |  | https://www.facebook.com/photo.php?fbid=2454157791530531&set=pcb.2454159084863735&type=3&__tn__=HH-R&eid=ARCPXgLAXSm0u_MsR925EWXngXfwQdb7DHmPpThHRMp1FtNHBY8WNfijiDagdedkrDrChLK2n2dcgfIo
9/11/19, 12:33 PM | others | Phan Yến Nhi | Những đứa bán hàng như mình đành cam chịu :((( Biết làm sao, bể mấy cái bảng mắt rồi có đc đền đâu 😀 May sao có mấy cái mình gói kĩ thấy bà nội luôn nên mới còn nguyên vẹn. | 32 | 3 | 9 | 
9/11/19, 11:20 AM | others | Phan Yến Nhi | Ủa rồi XS Max xuống giá chưa zạ 🙄 Để mình ra mua cái ốp 6s+ mới :))) | 177 | 18 |  | 
9/11/19, 9:56 AM | added photo | Phan Yến Nhi added a photo and a video. | Dưỡng da sương sương buổi sáng, trắng sáng, căng bóng và mềm mịn luôn ❤️ Link sản phẩm Oshirma Re-X: http://phanyennhi.oshirma.vn/ | 38 | 1 |  | https://www.facebook.com/yennhi.xd/videos/pcb.2453995428213434/2453994851546825/?type=3&__tn__=HH-R&eid=ARBcmgYXxvKkV4Ad7vNevRc-spOLJTAd5uxHvLutODLzjrNGcYuFVRQic8eNPsyyg7OP6iBywr1u86lK
9/10/19, 9:05 PM | others | Phan Yến Nhi | Chồng mới sắm cho, chuẩn bị đi rước đèn trung thu :))) Lấy vợ trẻ con zuiiiiiii lắm 🤣 | 318 | 19 |  | 
9/10/19, 5:08 PM | added photo | Phan Yến Nhi added 3 new photos. | La Girl về là soạn ngay cho khách, mở thùng ra thơm nức mũi, sáng giờ bị dí qué ❤️ Thấy bé khách ib thấy thương 😂 hồi trước c cũng không có bao nhiêu tóc để cột, giờ là cột tóc đuôi gà nhỏng nhỏng được gòi nha =)))) | 57 | 7 |  | https://www.facebook.com/photo.php?fbid=2453444188268558&set=pcb.2453445861601724&type=3&__tn__=HH-R&eid=ARB-FzwDcBUULHuK2RtZfwYiDdSnh8w0GkZiVaiNnuMYimD_IYsFfOzCfNCEyEvzNWmKReuXYzUDt9Zl
9/10/19, 12:41 PM | added photo | Phan Yến Nhi added 4 new photos. | Đi hàng cho sỉ còn sót lại 6 set trang điểm như này hình thật 100%. Mình thanh lí luôn #195k/set ( gốc #325k/set lận ) Set 3 món: phấn mắt, kẻ mắt nước, son màu như hình 100%( không đẹp không lấy tiền/ được kiểm hàng trước khi thanh toán ). Còn có 6 set thôi là hết hàng nạ ❤️ | 34 | 18 |  | https://www.facebook.com/photo.php?fbid=2453299864949657&set=pcb.2453301718282805&type=3&__tn__=HH-R&eid=ARB1RjViBzxwoFZT__b6fFUFkPTgI6F3Q5aXa9uO_QR8fpizlZEfLzvlvG5WRNVYWSEy8d9hx0FrlGQ9
9/10/19, 10:40 AM | added photo | Phan Yến Nhi added a new photo. | Khách đặt kem dưỡng mắt Hanco, bạn Nhi luôn bỏ kem 2 miếng mask đắp mắt ổn định thị lực cho mng dùng thử. Miếng mask này cũng giá trị không kém đâu nhé. Anh chị em làm việc, học nhiều trên máy tính, game thủ, bị cận, thức khuya hay mỏi mắt nên dùng thử em ấy ạ. Thư giãn, đỡ mệt mỏi hẳn mà còn ổn định thị lực cho mắt nữa. Kem mắt có đầu rung massage tự động #520k Mask Hộp 20 miếng #360k dùng mỗi ngày sẽ thấy sự thay đổi rõ rệt cho đôi mắt của mình ❤️ | 24 | 3 |  | https://www.facebook.com/photo.php?fbid=2453240264955617&set=a.2440228999590077&type=3&eid=ARBnHv4xlJzJn8if0j6BvHvslS6gLG6Q17nWo6uinVTZcaHUOri2XgO0S492-uP2xq_kq4SiR5HOlD5B
9/9/19, 11:16 PM | others | Phan Yến Nhi | Quảng cáo ý nghĩa ❤️ Dăm ba cái thành tích 😌 | 72 | 2 | 22 | 
9/9/19, 8:50 PM | added photo | Phan Yến Nhi added a new photo. | Tóc dài chứ? 😌 Tóc dài để mai mốt mẹ với Sá Xị cùng điệu ❤️ Muốn tóc nhanh dài và nhiều thì nhắn cho Nhi. Có khó gì đâu nhỉ :)))) | 122 | 2 |  | https://www.facebook.com/photo.php?fbid=2452774525002191&set=a.2401358420143802&type=3&eid=ARC2WMn4RdXwIbAlO9EkHQyyUODYQiDacMZE1lEU0Yt8tlwnZt-n5immAGrwF_KZk4p0hHY6U4jBmQv3
9/9/19, 5:34 PM | others | Phan Yến Nhi | Chợ giảm giá 60k-90k-120k-150k - Chỉ xả dọn tủ những sp bên dưới cmt. - Chỉ chốt đơn trên 100k. - Thời gian: hết hôm nay thôi ạ 😉 | 39 | 18 | 1 | 
9/9/19, 4:41 PM | others | Phan Yến Nhi | Có bạn khách cưng xài không biết bao nhiêu chai La Girl rồi. Và còn dùng thử sp mới bên Nhi chăm sóc vùng da mắt nữa. Nói chung Store bạn Nhi có đủ hết, chăm sóc từ tóc tới da luôn ❤️ | 19 | 1 |  | 
9/9/19, 12:08 PM | added photo | Phan Yến Nhi added a new photo. | Nhìn cái quầng mắt là biết thức khuya dữ lắm nà :))) Mà xài kem dưỡng mắt Hanco massage là đỡ liền tức khắc ❤️ Xài hết kem rồi, pin vẫn còn, vẫn còn rung là massage da mặt đc luôn 😉 | 30 | 3 |  | https://www.facebook.com/photo.php?fbid=2452526495026994&set=a.2440228999590077&type=3&eid=ARDYz-WuE-lt8GCakwt1FRQ4W4F231goNFyIxR6qgcQL1tivMjc1h8ESRX5dzU0QkGR5OfOjb8F4whFm
9/8/19, 6:16 PM | added photo | Phan Yến Nhi added 4 new photos. | Son kem Tutu nhà mình hôm giờ màu nào cũng bán chạy, đa số ai cũng thích đỏ cam. Mà mình quên màu 646 này khách đánh lên môi cực kì Tây, cá tính vô cùng, sáng da nữa ❤️ Vẫn để giá giảm 100k/cây, 2 cây 180k nhé | 38 | 5 | 2 | https://www.facebook.com/photo.php?fbid=2451958505083793&set=pcb.2451960441750266&type=3&__tn__=HH-R&eid=ARAIDnEUElyQKxSSj00MpnfA3gS0wRddcsOZpQP8tHjDumTD2k6StzvGoACKvH8B2ShznwdH-oPk-azn
9/8/19, 5:02 PM | added photo | Phan Yến Nhi added 5 new photos. | Với La Girl, không có chuyện gì khó hết. Hằng ngày tư vấn khách, tóc của khách gặp đủ vấn đề, đều giải quyết được sau khi dử dụng sp, và cứ thế dùng tiếp, dưỡng tóc cũng giống như dưỡng da. Chăm dưỡng và dùng đúng sp thì sẽ đẹp hoài ❤ Mình luôn tuyển hệ thống gia nhập La Girl nhé 👧 | 37 | 5 |  | https://www.facebook.com/photo.php?fbid=2451924291753881&set=pcb.2451925945087049&type=3&__tn__=HH-R&eid=ARCPEc5wQyJOYZ2r6d2bE-IAfuJavCyLi_OXyxmzXdk1UL49CUpoPk-56BoMeLNN5zZFwV7Sjh6vhDtq
9/8/19, 12:09 PM | added photo | Phan Yến Nhi added 4 new photos. | Mình còn sẵn 2 set này nạ ❤️ | 30 | 9 |  | https://www.facebook.com/photo.php?fbid=2451785915101052&set=pcb.2451786105101033&type=3&__tn__=HH-R&eid=ARBNVmtBssO_VmOXcwOAvcdYNa1IpjsSeoeHnI3mweKxcFR_HrJ30c0TznQ-L1Tn4zDRNrBOne2rLeA5
9/8/19, 10:54 AM | added photo | Phan Yến Nhi added 3 new photos. | Bé iu xài kem mắt Hanco ❤️ Cứ anh chị em nào bị thâm quầng mắt, bọng mắt to, da có vết nhăn, lão lóa, vết chân chim thì nhắn cho mình. Kem mắt xịn sò nhất hiện nay kết hợp massage hứa hẹn là xài cực thư giãn luôn ❤️ | 45 | 11 |  | https://www.facebook.com/photo.php?fbid=2451746488438328&set=pcb.2451747368438240&type=3&__tn__=HH-R&eid=ARDP2Wsiz5w6FGaUSDoJ_oZ2tynEbADLAMSDThAYq7nIcKmgH8hA0T8bSJRuBLAOxqo0sYVSpN7P_Sv0
9/7/19, 11:58 PM | others | Phan Yến Nhi | Kiếm cái cap ghi mà nghĩ quài ko ra. Thôi thì cho hợp với cái ảnh là hồi này 48kg. Còn sáng đi khám thai là bàn cân báo 60 rồi nha 😌 | 647 | 16 |  | 
